"","prolific","X","age","sex","orient","ethnic","religion","location","SES","politics","HC1","HC2","HC3","HC4","HC5","HC6","HC7","HC8","HC9","HC10","HC11","HC12","HC13","HC14","HC15","HC16","HC17","HC18","RWA1","RWA2","RWA3","RWA4","RWA5","RWA6","RWA7","RWA8","RWA9","RWA10","RWA11","RWA12","SDO1","SDO2","SDO3","SDO4","SDO5","SDO6","SDO7","SDO8","SDO9","SDO10","SDO11","SDO12","SDO13","SDO14","SDO15","SDO16","BFI1","BFI2","BFI3","BFI4","BFI5","BFI6","BFI7","BFI8","BFI9","BFI10","BFI11","BFI12","BFI13","BFI14","BFI15","BFI16","BFI17","BFI18","BFI19","BFI20","BFI21","BFI22","BFI23","BFI24","BFI25","BFI26","BFI27","BFI28","BFI29","BFI30","BFI31","BFI32","BFI33","BFI34","BFI35","BFI36","BFI37","BFI38","BFI39","BFI40","BFI41","BFI42","BFI43","BFI44","Hcexp","X01","X02","X03","X04","X05","X06","X07","X08","X09","X10","index"
"44","5b798bd4ae3bc00001387d4c",76,43,1,1,1,1,7,3,1,4,3,4,3,2,4,3,5,3,2,2,3,2,3,3,2,3,2,5,7,2,1,2,5,7,2,7,3,6,2,5,4,4,5,4,4,4,3,5,4,4,4,4,5,4,5,2,4,3,3,2,4,2,4,3,5,2,2,4,4,4,2,2,4,4,4,4,2,4,3,2,2,2,5,4,4,4,2,3,3,2,1,4,3,4,4,3,1,4,3,1,4,3,3,3,2,3,3,3,2,2,"109"
"45","5b831be3075ce30001f3de00",126,26,2,3,1,1,6,4,3,2,1,2,1,4,1,4,5,3,4,4,5,1,4,5,3,4,3,7,7,6,2,4,7,6,2,7,1,7,4,2,5,1,1,7,2,6,7,7,7,1,2,5,1,7,1,3,4,4,5,4,3,4,5,1,5,2,2,4,5,3,3,2,4,5,5,2,3,4,2,3,2,2,4,5,5,3,4,5,1,3,2,3,2,5,3,2,4,5,4,1,2,3,1,1,1,1,4,5,5,2,"57"
"46","5b9d7801856d4f0001a213df",11,35,2,1,1,2,8,7,5,1,1,1,1,5,1,4,5,3,2,3,5,1,4,5,3,3,3,7,7,4,1,4,7,1,6,7,6,3,6,1,5,1,1,4,1,7,7,7,7,1,1,7,1,7,1,5,4,4,4,4,5,3,3,1,5,2,4,4,4,3,3,4,4,5,5,4,4,4,1,4,3,4,5,5,2,5,4,3,2,4,2,3,3,4,3,2,4,3,3,1,5,3,1,4,3,2,3,1,1,1,"89"
"47","5b9ffe473c79df000159cd8c",80,43,1,1,1,1,9,1,3,1,1,1,1,2,1,2,5,4,3,2,4,1,3,4,3,3,2,7,6,1,2,2,7,5,2,7,2,1,4,1,7,1,1,7,1,7,7,7,7,1,1,7,1,7,1,4,3,4,4,5,3,4,2,2,5,4,2,3,4,5,4,4,4,4,5,2,4,2,2,5,4,2,4,4,5,3,4,3,3,2,4,2,3,2,5,1,4,2,5,3,5,2,1,2,1,2,5,3,4,2,"5"
"48","5bb5dd2c72603000015a9bf2",115,35,2,1,1,1,11,3,1,1,1,1,1,1,1,1,5,1,1,1,5,1,1,5,1,1,1,7,1,7,7,7,7,4,7,7,7,1,7,1,1,1,4,1,1,7,1,7,1,1,7,1,7,1,2,1,1,5,1,5,5,5,1,5,5,4,1,5,1,5,5,5,1,1,1,5,3,1,5,5,1,1,5,1,5,5,5,5,5,5,1,1,5,1,4,1,5,1,5,2,1,1,1,1,1,1,1,1,3,1,"56"
"49","5bc9ed7f3d893f0001bee4b6",108,19,2,1,1,1,10,2,3,2,1,2,3,4,1,4,4,4,2,4,5,1,3,5,3,4,2,7,7,4,3,3,7,7,3,7,2,7,2,3,6,4,3,6,4,4,7,7,7,3,4,5,4,7,3,3,3,4,4,4,4,4,4,1,5,3,3,4,4,4,3,2,4,5,5,4,2,4,1,3,1,3,3,4,5,5,3,4,1,3,2,3,3,5,3,2,4,5,4,3,2,1,1,1,1,1,4,5,4,2,"19"
"50","5be1731ca706240001b09380",47,26,2,1,1,1,10,2,3,2,1,2,1,4,1,2,5,4,3,2,4,2,2,4,3,4,2,7,7,4,3,3,7,3,3,7,3,5,4,3,7,2,4,6,2,6,7,7,7,2,3,7,4,6,4,2,5,5,5,2,4,4,3,2,3,2,2,4,4,3,2,2,1,5,3,4,4,3,2,2,2,2,4,4,4,4,4,5,3,4,2,2,2,4,4,2,3,4,3,1,4,2,1,3,2,3,3,1,3,2,"25"
"51","5beef8baaf11020001a4ffc7",130,23,3,3,1,1,3,4,1,2,1,1,2,4,1,4,5,5,5,4,5,1,3,5,4,4,1,7,7,1,1,1,7,7,1,7,1,6,1,1,7,3,1,7,3,7,7,7,7,1,1,7,1,7,1,3,2,4,2,4,4,3,3,3,4,3,2,4,4,3,3,4,2,3,4,4,4,3,4,3,3,3,3,4,3,4,4,4,4,4,4,2,3,3,4,2,4,3,4,1,2,1,1,2,1,1,4,4,4,1,"38"
"52","5bf6bbeb31f7850001d24ce2",21,46,2,1,1,1,8,2,3,2,1,2,1,4,1,4,5,3,2,4,4,1,3,4,4,4,1,7,7,2,2,2,7,7,2,7,2,6,2,2,6,2,2,6,1,6,6,7,6,1,1,6,1,7,1,3,4,4,3,3,4,4,3,2,5,3,2,5,4,4,4,4,4,3,3,5,4,4,3,2,2,3,4,3,4,4,4,4,2,4,3,3,4,4,4,2,3,4,4,1,1,1,1,2,1,2,4,5,5,1,"86"
"53","5c0023666ac6f500012318eb",75,33,2,1,3,3,2,2,5,2,1,1,1,3,1,5,5,3,3,5,3,1,4,4,4,5,2,5,7,6,5,5,7,4,4,4,6,3,5,1,7,1,1,7,1,7,7,7,7,1,1,5,1,7,1,4,1,5,1,3,3,4,1,3,3,3,1,5,3,3,3,4,1,4,3,3,4,1,3,2,5,1,5,2,3,1,4,5,4,5,4,1,5,3,3,3,4,1,1,1,1,1,1,1,1,1,5,5,5,1,"68"
