sona,age,Q11_1,Q11_2,Q11_3,Q11_4,Q11_5,Q11_6,Q11_7,Q11_8,Q11_9,Q11_10,Q11_11,Q11_12,Q11_13,Q11_14,Q11_15,Q11_16,Q11_17,Q11_18,Q11_19,Q11_20,Q11_21,Q11_22,Q11_23,Q11_24,Q11_25,Q11_26,Q11_27,Q11_28,Q11_29,Q11_30,Q11_31,Q11_32,Q11_33,Q11_34,Q11_35,Q11_36,Q11_37,Q11_38,Q11_39,Q11_40,Q11_41,Q11_42,Q11_43,Q11_44,Q11_45,Q11_46
20692,20,1,4,1,4,2,2,1,1,2,2,2,1,2,4,4,4,3,5,4,2,1,4,4,2,4,4,4,1,4,5,2,2,1,1,2,4,5,4,1,2,5,1,2,1,5,4
20700,38,2,4,1,4,2,2,2,2,1,2,2,2,2,4,3,3,3,4,2,2,2,3,4,2,3,3,2,2,2,4,1,2,2,1,2,3,3,2,2,2,2,2,2,2,2,2
21474,23,2,5,1,4,1,1,1,1,3,1,1,1,2,4,4,1,4,4,4,3,2,3,5,3,5,3,1,1,3,4,1,3,3,1,4,4,4,3,1,1,3,1,1,1,1,1
20885,20,2,5,1,4,3,2,1,1,2,2,2,1,3,4,2,3,3,2,2,1,2,2,5,2,4,2,2,2,2,4,2,2,1,2,2,3,4,2,2,2,2,2,3,1,1,2
21570,18,2,5,1,1,2,2,1,1,2,1,2,1,2,5,2,4,4,2,4,2,2,4,5,3,2,4,3,1,4,4,1,2,2,2,3,4,4,4,2,2,3,2,2,2,2,2
21512,19,2,4,1,2,2,2,2,1,3,2,2,1,3,4,4,3,4,4,4,3,2,3,4,3,3,4,3,2,3,4,2,3,3,2,3,4,4,3,2,3,3,2,3,2,3,3
21445,19,3,4,2,2,2,2,2,2,4,2,2,2,4,4,3,3,4,2,4,2,3,3,4,3,3,3,3,2,3,4,2,2,2,2,4,4,4,4,2,2,4,2,2,2,4,2
20868,30,1,5,1,3,1,1,1,1,1,1,2,1,1,5,3,3,3,4,3,3,3,4,5,1,4,2,1,1,3,5,1,2,2,1,2,3,3,3,1,2,2,1,2,1,3,1
21438,19,1,4,1,3,2,2,1,1,2,2,2,1,3,4,4,3,4,3,4,2,2,4,4,2,4,3,3,1,4,4,1,1,1,1,3,4,4,4,2,1,3,2,2,1,1,2
20796,19,2,4,1,3,2,2,1,1,3,1,2,1,3,5,3,3,4,3,4,2,4,3,5,3,3,3,3,1,3,4,1,2,2,1,4,4,4,3,1,1,3,2,3,1,2,1
21451,18,2,4,1,3,2,2,2,2,3,3,2,2,3,4,3,3,3,4,3,2,2,4,4,2,2,4,3,1,3,4,2,2,2,2,3,3,4,4,2,2,3,2,2,2,2,2
21608,19,1,5,1,3,1,1,1,1,3,1,1,1,5,5,2,2,4,4,4,2,2,4,4,1,5,2,2,1,4,3,1,1,1,1,5,5,4,5,1,1,4,2,2,1,2,2
21627,21,2,5,1,2,2,2,1,1,3,1,2,1,2,5,4,3,4,4,4,2,4,2,4,3,4,2,2,2,2,4,2,2,2,2,3,4,3,2,1,2,4,2,3,1,2,3
21528,21,1,5,1,3,2,1,2,2,3,2,2,2,3,4,4,3,4,4,4,2,3,3,5,2,4,3,3,1,3,4,2,1,1,1,4,4,4,4,1,1,4,1,1,1,5,2
21403,19,2,4,1,3,2,2,1,1,2,1,1,1,4,4,3,3,4,4,4,2,2,4,4,3,4,4,1,1,4,5,1,2,2,1,4,4,4,4,1,2,4,2,2,1,3,2
20715,20,1,5,1,3,2,1,1,1,3,1,2,1,3,5,3,4,3,4,4,2,2,4,5,4,3,4,4,1,2,5,1,1,1,2,4,4,5,4,1,1,3,4,2,1,1,1
20862,19,1,5,1,4,2,2,1,1,2,2,2,1,3,5,3,3,3,4,3,2,2,4,4,1,4,4,3,1,4,4,1,2,2,1,4,4,3,3,2,1,4,1,2,1,2,3
20679,19,2,4,1,3,3,3,2,3,2,2,2,1,3,3,2,2,2,3,4,2,3,3,4,3,4,4,3,1,2,4,2,2,1,2,2,2,4,2,3,2,3,3,2,3,3,2
21909,22,3,4,1,4,2,3,3,2,2,3,3,2,3,4,4,3,4,4,3,3,3,3,4,2,2,3,3,1,3,2,4,3,1,2,3,3,2,3,3,3,3,3,2,2,3,4
21567,19,3,5,2,4,4,3,1,1,4,2,3,1,2,4,4,2,4,4,4,2,1,4,5,2,4,4,1,1,4,4,2,2,4,2,3,4,4,4,2,2,4,2,3,3,3,3
20726,20,2,5,1,2,2,2,1,1,3,2,2,2,2,3,2,3,4,2,4,2,3,4,5,4,2,3,3,1,4,5,1,2,1,1,4,4,3,4,1,3,2,2,2,2,4,2
21441,20,1,5,1,3,2,2,2,1,3,1,3,1,3,5,3,3,4,3,3,1,2,4,5,3,4,4,3,1,4,5,2,2,2,1,3,3,5,3,2,1,3,1,1,1,2,3
21501,20,1,2,1,4,2,2,1,1,2,1,3,1,3,4,4,2,3,2,3,2,2,3,3,1,4,4,3,1,3,4,4,2,1,1,3,3,4,4,1,2,2,1,2,1,3,1
21432,19,2,5,1,3,2,1,2,1,4,2,1,1,4,5,4,3,4,4,4,2,3,4,5,3,4,4,2,2,4,5,3,3,2,1,4,4,5,4,1,1,3,2,2,1,2,3
21535,20,1,3,3,2,3,1,1,1,3,1,3,1,3,3,3,2,2,3,4,1,3,3,3,2,3,3,3,3,3,3,1,1,3,2,3,3,3,3,1,1,3,3,3,3,3,1
21388,20,1,5,1,2,2,1,2,2,1,1,1,1,2,4,2,3,3,2,4,2,3,2,4,2,3,2,3,1,3,3,1,3,2,1,3,3,4,3,2,1,3,2,1,2,3,1
20802,19,1,5,1,4,1,1,1,1,2,1,1,1,4,5,4,4,4,4,4,2,3,5,5,2,4,4,3,1,4,5,1,1,1,1,3,5,5,4,1,1,2,1,1,1,4,1
20622,20,1,4,1,3,2,2,1,1,2,2,3,1,3,4,3,3,3,4,4,2,2,3,4,1,3,3,3,1,3,4,2,1,1,3,3,3,3,3,1,2,2,1,1,1,1,2
20693,20,2,5,1,4,2,2,2,1,2,2,2,1,2,4,2,3,4,3,4,2,3,4,4,2,4,4,2,2,4,4,2,2,2,2,3,4,4,4,2,2,4,2,2,2,2,2
19892,30,1,4,1,4,3,2,1,1,3,1,3,1,3,4,3,3,4,4,5,2,2,4,5,3,4,4,3,1,4,4,2,2,1,2,3,4,4,4,1,2,3,1,1,1,1,2
21397,18,1,4,1,2,1,1,1,1,3,1,2,1,3,5,3,1,4,3,4,1,1,3,5,1,3,3,1,1,3,4,1,1,1,1,1,4,4,3,1,1,3,1,1,1,1,3
22088,19,1,1,1,2,2,2,2,1,3,1,1,1,3,5,3,3,3,3,5,2,3,3,5,3,3,3,3,1,3,3,1,2,1,1,3,3,3,4,1,1,3,3,3,1,3,1
20747,22,1,5,1,4,3,1,1,1,3,1,3,1,2,1,3,3,4,3,3,3,3,4,5,3,4,4,3,1,4,3,3,1,1,1,4,4,4,3,1,1,3,2,2,1,1,3
19648,20,1,4,1,2,2,1,1,1,2,1,2,1,1,5,2,2,3,1,2,3,4,2,5,1,3,2,1,1,3,5,1,1,2,1,4,4,5,4,1,1,2,1,3,1,2,1
20804,19,2,4,2,4,4,2,2,2,2,1,2,2,3,4,2,3,4,4,4,3,2,3,4,2,2,3,2,2,3,3,1,4,3,1,2,3,4,3,2,2,3,2,3,2,2,2
21546,19,2,5,1,4,3,2,1,1,2,1,2,1,2,4,3,3,3,4,3,2,3,3,4,2,4,3,3,1,3,4,2,3,1,1,3,4,3,4,1,2,4,2,2,1,4,3
20741,19,1,5,1,4,2,1,1,1,2,1,2,1,3,5,5,3,5,5,3,2,5,4,5,2,4,4,2,1,4,5,1,1,1,1,3,4,5,4,1,1,2,1,1,1,1,1
20746,20,2,4,2,4,3,2,2,2,2,2,2,2,4,4,3,3,3,4,4,1,2,4,4,3,2,4,3,2,4,4,2,2,1,2,3,4,4,4,2,2,4,2,3,2,2,3
21391,21,3,5,1,3,5,2,3,3,1,2,4,3,3,3,4,2,4,3,2,3,2,3,4,3,3,3,2,2,3,3,2,2,2,2,2,3,4,3,3,2,4,2,2,2,3,3
21506,18,1,4,1,4,2,2,2,2,3,1,2,1,3,5,4,4,4,3,4,2,2,3,4,5,4,4,3,1,4,5,1,2,4,1,4,4,5,4,1,1,4,1,1,1,2,3
21521,18,1,5,1,4,1,1,1,1,5,1,2,1,5,5,4,3,4,4,4,1,1,5,5,4,5,5,4,1,4,5,1,2,1,1,4,5,5,5,1,1,5,1,1,1,5,1
20756,19,2,4,1,4,2,2,1,1,2,1,2,1,2,5,3,3,4,4,4,2,2,4,4,3,4,4,3,2,4,4,3,2,2,2,4,3,4,4,4,2,4,2,2,1,3,3
21383,18,1,5,1,4,2,1,1,1,3,1,2,1,3,5,4,4,4,3,5,2,1,5,5,3,4,5,5,1,5,5,1,1,1,1,5,5,5,5,1,1,3,1,1,1,1,1
20822,19,1,1,1,2,1,1,1,1,3,1,1,1,3,4,4,3,4,4,4,2,3,4,5,4,4,4,4,1,4,4,1,2,2,1,4,4,4,4,1,1,4,2,2,1,3,1
21470,19,1,5,1,1,1,1,1,1,3,1,1,1,4,5,4,3,4,2,5,2,2,4,5,3,2,5,3,1,5,5,1,1,1,1,5,4,4,5,1,1,3,2,2,1,1,1
21582,20,1,4,1,3,1,2,1,1,1,1,2,1,2,5,5,3,4,4,3,2,2,4,4,3,3,4,3,1,4,5,2,2,2,1,3,4,4,3,2,1,3,1,2,1,1,4
20874,19,1,4,1,3,1,1,1,1,3,1,1,1,4,5,2,2,4,3,4,2,3,4,4,3,2,4,1,1,4,4,1,2,4,2,4,4,5,4,1,2,3,1,2,2,2,1
21622,19,1,5,1,3,4,3,2,1,2,1,3,1,2,5,4,3,4,3,4,3,2,2,5,1,3,2,2,2,3,3,3,4,1,1,1,2,5,3,2,2,1,3,3,2,5,3
21609,18,2,4,1,3,3,1,2,2,3,1,3,3,4,2,3,2,5,3,5,1,3,5,5,3,2,4,3,1,4,5,1,1,2,1,4,5,3,4,1,1,4,1,3,1,1,1
21618,18,2,4,2,2,2,2,1,1,3,2,2,2,3,4,3,4,3,3,3,2,3,3,4,3,3,3,3,2,3,4,1,1,1,1,3,3,4,3,1,1,3,2,2,2,2,3
21621,18,1,5,1,3,1,1,1,1,2,1,2,1,2,1,4,4,4,5,3,2,2,3,5,2,5,3,2,1,3,4,1,1,1,1,3,4,4,3,1,1,3,1,2,2,3,2
21412,30,3,5,1,3,2,3,1,1,1,1,1,1,3,5,3,3,3,3,4,2,1,4,4,2,3,4,2,2,4,3,3,4,1,1,3,4,3,4,1,2,3,1,1,1,4,2
21457,19,1,5,1,3,1,2,2,2,4,2,2,2,3,4,4,3,4,4,4,2,2,4,5,3,4,4,4,2,4,4,1,2,1,2,4,3,4,3,2,2,4,2,2,2,2,2
20632,19,1,5,1,4,1,1,1,1,3,1,1,1,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
21422,18,3,5,1,4,3,2,2,2,2,1,2,2,1,4,4,2,3,4,3,3,2,4,5,2,4,3,1,1,3,4,1,2,3,1,3,4,4,2,2,2,3,2,3,1,1,3
21449,21,2,5,2,3,1,2,2,2,3,3,2,1,3,4,3,2,4,3,5,2,2,3,5,2,3,4,2,2,3,4,2,3,1,1,4,4,4,3,2,2,3,2,2,2,1,3
21593,18,1,5,1,3,1,1,2,1,5,1,1,2,3,1,1,3,2,5,5,3,3,3,4,2,4,4,1,1,4,5,3,3,2,1,4,4,5,3,2,2,3,2,1,2,3,3
20659,19,2,5,2,4,1,2,2,2,3,2,2,2,4,5,4,3,4,4,4,2,2,4,5,3,4,4,3,2,4,4,2,2,2,2,4,4,5,4,2,2,3,2,2,2,2,3
21498,18,3,4,2,4,4,3,2,2,4,3,3,2,4,4,2,3,4,4,4,4,2,4,4,4,3,4,2,2,4,4,2,3,2,2,3,3,2,4,2,2,4,2,3,2,2,3
21506,18,1,5,1,4,2,1,1,1,2,1,2,1,2,5,4,3,4,4,3,1,2,3,5,3,4,3,4,1,3,5,1,1,3,1,3,4,4,4,1,1,4,1,1,1,2,3
20869,21,3,5,1,4,3,2,1,1,5,3,5,1,3,4,4,2,4,3,4,3,2,4,4,5,4,5,3,1,4,4,1,2,2,1,4,4,5,4,1,3,4,1,2,1,1,2
21391,21,2,4,1,3,3,2,2,2,3,2,2,3,3,2,4,2,4,3,3,2,3,4,5,4,3,3,3,2,3,3,2,3,1,2,2,2,4,3,2,2,4,2,2,2,4,3
21608,19,1,4,1,4,2,2,2,2,3,2,2,2,4,1,4,3,4,4,4,4,2,4,4,1,4,4,2,2,4,4,1,2,1,2,5,4,5,4,2,3,4,2,2,2,4,2
21593,18,1,5,1,3,5,1,1,1,5,5,1,5,1,5,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
21466,20,1,5,1,1,1,1,1,1,3,1,1,1,3,4,4,1,3,2,4,1,3,5,5,4,4,5,3,1,5,3,1,4,1,1,5,5,4,2,1,1,1,4,1,1,4,1
20869,21,2,4,2,4,2,2,2,2,4,2,2,2,4,5,4,4,4,4,4,2,1,4,5,4,4,4,3,2,4,4,1,2,3,2,4,4,4,4,2,2,4,2,2,2,2,2
20658,21,3,3,3,2,4,2,3,3,2,3,4,3,3,2,2,2,3,4,4,3,2,3,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,2,2,2,3,2,3,2,3,2
21506,18,1,5,1,4,2,1,1,1,3,1,2,1,3,5,4,4,5,4,4,1,1,3,5,4,3,4,4,1,4,5,1,1,3,2,4,4,4,4,1,2,4,1,1,1,3,2
19892,30,1,4,1,4,3,1,1,1,3,1,2,1,3,1,4,3,3,4,4,1,1,4,4,3,4,4,3,1,4,5,2,1,1,1,3,4,4,4,1,1,3,1,2,1,3,2
20677,19,2,5,1,4,2,2,1,1,3,1,1,1,3,4,3,3,2,4,4,3,2,4,5,2,4,4,2,2,3,4,2,2,1,5,3,3,4,3,2,2,3,1,1,1,5,2
20664,19,2,4,2,4,2,2,2,2,3,2,2,2,3,5,3,2,3,4,3,2,2,3,4,3,2,3,3,2,3,4,2,2,2,2,3,4,4,3,2,2,3,2,2,2,4,2
20680,20,5,3,5,2,3,4,5,5,2,4,4,2,2,3,2,3,4,2,4,5,4,2,5,4,2,3,2,4,2,3,2,5,3,2,3,3,4,2,3,4,3,5,3,3,2,2
21556,19,1,5,1,5,1,3,1,1,3,1,1,1,3,5,5,1,5,5,4,2,4,5,5,3,5,4,3,3,5,3,2,3,1,3,5,5,5,5,1,3,3,1,1,1,3,3
